run,version,overall_accuracy,macro_f1,mean_iou,kappa
93,v2,0.6587,0.3809,0.2987,0.5325
93,v3,0.6072,0.3736,0.2911,0.4846
93,v4,0.5084,0.2449,0.1642,0.3204
93,v5,0.5653,0.362,0.2796,0.4429
93,v6,0.1867,0.1035,0.0582,0.0595
94,v2,0.6563,0.3808,0.2986,0.5292
94,v3,0.6053,0.3735,0.2911,0.482
94,v4,0.5052,0.2434,0.1632,0.3155
94,v5,0.5632,0.3622,0.2798,0.4403
94,v6,0.1863,0.1041,0.0585,0.059
95,v2,0.6548,0.3764,0.2959,0.5268
95,v3,0.6046,0.3704,0.2893,0.4808
95,v4,0.5075,0.2417,0.1625,0.3183
95,v5,0.5627,0.3591,0.278,0.4393
95,v6,0.1867,0.1035,0.0582,0.0594
96,v2,0.6553,0.3778,0.2967,0.5278
96,v3,0.6045,0.3708,0.2895,0.481
96,v4,0.5052,0.2417,0.162,0.3158
96,v5,0.5624,0.3591,0.2779,0.4392
96,v6,0.1862,0.1033,0.058,0.0589
97,v2,0.6572,0.3786,0.2978,0.5306
97,v3,0.6063,0.3721,0.2906,0.4836
97,v4,0.5068,0.2423,0.1628,0.3182
97,v5,0.565,0.3614,0.2797,0.4428
97,v6,0.1868,0.1039,0.0584,0.0595
98,v2,0.6608,0.3835,0.302,0.536
98,v3,0.6095,0.3762,0.2944,0.4881
98,v4,0.5101,0.2468,0.1658,0.3234
98,v5,0.5671,0.3644,0.2826,0.4459
98,v6,0.1868,0.1044,0.0587,0.0597
99,v2,0.6584,0.3806,0.2985,0.5324
99,v3,0.6076,0.3739,0.2914,0.4854
99,v4,0.5059,0.2431,0.163,0.3174
99,v5,0.5654,0.3625,0.2799,0.4434
99,v6,0.1865,0.1037,0.0582,0.0593
