design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
strat,v2,5,20,Harvest,0.0918,0.2038,0.43,0.262,-0.0646
strat,v2,5,20,Development,0.0402,0.2048,0.29,0.1849,-0.036
strat,v2,5,20,Forest,0.729,0.5331,0.0,0.3468,0.0621
strat,v2,5,20,Urban,0.6885,0.7076,0.0,0.2182,0.0588
strat,v2,5,20,Water,0.9695,0.9595,0.0,0.0642,-0.0018
strat,v2,5,20,Agriculture,0.8622,0.7732,0.0,0.194,0.0137
strat,v2,5,20,Grass/Shrub,0.2685,0.2703,0.02,0.2809,-0.0254
strat,v2,5,20,Wetland,0.4548,0.3693,0.01,0.2653,-0.0141
strat,v2,5,20,Beaver,0.0357,0.3217,0.02,0.2339,0.0412
strat,v2,5,20,Insect/Disease,0.033,0.1073,0.56,0.1837,-0.0338
simple,v2,5,50,Harvest,0.0918,0.1019,0.46,0.0928,-0.0
simple,v2,5,50,Development,0.0402,0.2386,0.9,0.0471,0.0075
simple,v2,5,50,Forest,0.729,0.7362,0.0,0.3324,-0.0905
simple,v2,5,50,Urban,0.6885,0.6141,0.0,0.1426,0.0268
simple,v2,5,50,Water,0.9695,0.959,0.0,0.0576,0.0016
