design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v2,5,100,A_oa,0.6634,0.669,0.03239,0.00554,0.6089,0.7373
simple,v2,5,100,A_kappa,0.5376,0.5389,0.04289,0.00134,0.4513,0.6331
simple,v2,5,100,A_macrof1,0.3816,0.5796,0.05736,0.19797,0.4695,0.681
simple,v2,5,100,B_oa,0.7103,0.7151,0.03894,0.00483,0.64,0.79
simple,v2,5,100,C_oa,0.6851,0.6864,0.04138,0.00132,0.6148,0.7652
simple,v2,5,100,A_oa_wtd,0.6634,0.669,0.03239,0.00554,0.6089,0.7373
simple,v2,5,100,A_macrof1_wtd,0.3816,0.5796,0.05736,0.19797,0.4695,0.681
simple,v2,5,100,C_frac_majority,,0.9601,0.02018,,,
strat,v2,5,100,A_oa,0.6634,0.4908,0.02963,-0.1726,0.4371,0.5438
strat,v2,5,100,A_kappa,0.5376,0.4133,0.03285,-0.12426,0.3544,0.4747
strat,v2,5,100,A_macrof1,0.3816,0.4259,0.03981,0.04429,0.3623,0.5052
strat,v2,5,100,B_oa,0.7103,0.7002,0.07669,-0.01006,0.5567,0.8371
strat,v2,5,100,C_oa,0.6851,0.6718,0.08127,-0.01324,0.5018,0.808
strat,v2,5,100,A_oa_wtd,0.6634,0.6614,0.06254,-0.00205,0.5532,0.7783
strat,v2,5,100,A_macrof1_wtd,0.3816,0.416,0.04179,0.0344,0.3492,0.5132
strat,v2,5,100,C_frac_majority,,0.9518,0.02181,,,
simple,v2,5,200,A_oa,0.6634,0.6602,0.02484,-0.00324,0.6132,0.7033
