design,version,W,n,cls,frac_absent
strat,v2,1,1000,Insect/Disease,0.0
simple,v2,1,2000,Harvest,0.0
simple,v2,1,2000,Development,0.0
simple,v2,1,2000,Forest,0.0
simple,v2,1,2000,Urban,0.0
simple,v2,1,2000,Water,0.0
simple,v2,1,2000,Agriculture,0.0
simple,v2,1,2000,Grass/Shrub,0.0
simple,v2,1,2000,Wetland,0.0
simple,v2,1,2000,Beaver,0.0
simple,v2,1,2000,Insect/Disease,0.0
strat,v2,1,2000,Harvest,0.0
strat,v2,1,2000,Development,0.0
strat,v2,1,2000,Forest,0.0
strat,v2,1,2000,Urban,0.0
strat,v2,1,2000,Water,0.0
strat,v2,1,2000,Agriculture,0.0
strat,v2,1,2000,Grass/Shrub,0.0
strat,v2,1,2000,Wetland,0.0
strat,v2,1,2000,Beaver,0.0
strat,v2,1,2000,Insect/Disease,0.0
simple,v2,1,5000,Harvest,0.0
simple,v2,1,5000,Development,0.0
simple,v2,1,5000,Forest,0.0
simple,v2,1,5000,Urban,0.0
simple,v2,1,5000,Water,0.0
simple,v2,1,5000,Agriculture,0.0
simple,v2,1,5000,Grass/Shrub,0.0
simple,v2,1,5000,Wetland,0.0
simple,v2,1,5000,Beaver,0.0
simple,v2,1,5000,Insect/Disease,0.0
strat,v2,1,5000,Harvest,0.0
strat,v2,1,5000,Development,0.0
strat,v2,1,5000,Forest,0.0
strat,v2,1,5000,Urban,0.0
strat,v2,1,5000,Water,0.0
strat,v2,1,5000,Agriculture,0.0
strat,v2,1,5000,Grass/Shrub,0.0
strat,v2,1,5000,Wetland,0.0
strat,v2,1,5000,Beaver,0.0
strat,v2,1,5000,Insect/Disease,0.0
simple,v2,3,20,Harvest,0.47
simple,v2,3,20,Development,0.7
simple,v2,3,20,Forest,0.0
simple,v2,3,20,Urban,0.1
simple,v2,3,20,Water,0.14
simple,v2,3,20,Agriculture,0.0
simple,v2,3,20,Grass/Shrub,0.0
simple,v2,3,20,Wetland,0.01
simple,v2,3,20,Beaver,0.11
simple,v2,3,20,Insect/Disease,0.29
strat,v2,3,20,Harvest,0.0
strat,v2,3,20,Development,0.0
strat,v2,3,20,Forest,0.0
strat,v2,3,20,Urban,0.0
strat,v2,3,20,Water,0.0
strat,v2,3,20,Agriculture,0.0
strat,v2,3,20,Grass/Shrub,0.0
strat,v2,3,20,Wetland,0.0
strat,v2,3,20,Beaver,0.0
strat,v2,3,20,Insect/Disease,0.0
simple,v2,3,50,Harvest,0.14
simple,v2,3,50,Development,0.34
simple,v2,3,50,Forest,0.0
simple,v2,3,50,Urban,0.0
simple,v2,3,50,Water,0.0
simple,v2,3,50,Agriculture,0.0
simple,v2,3,50,Grass/Shrub,0.0
simple,v2,3,50,Wetland,0.0
simple,v2,3,50,Beaver,0.0
simple,v2,3,50,Insect/Disease,0.02
strat,v2,3,50,Harvest,0.0
strat,v2,3,50,Development,0.0
strat,v2,3,50,Forest,0.0
strat,v2,3,50,Urban,0.0
strat,v2,3,50,Water,0.0
strat,v2,3,50,Agriculture,0.0
strat,v2,3,50,Grass/Shrub,0.0
strat,v2,3,50,Wetland,0.0
strat,v2,3,50,Beaver,0.0
strat,v2,3,50,Insect/Disease,0.0
simple,v2,3,100,Harvest,0.01
